name,state,D_H,D_w,D_b,D_aian,D_a,D_limitedeng,HS13a_uninsured,HS13b_PrivateIns,SEF05_married,SEF14b_CollageBAPlus,SEF19_employed,SEF25_severehouse,sef26_occupantsrm,SEF27_housingburden30,SEF28_medHHInc,SEF31_SingleParent,SEF36_ChildPoverty,SEF37_GiniInd,SEF38_poverty,HO49_Diabetes,HO53_ActivityLimit,HB50_Fruit,HB38_inactivity,HB41_currentsmoker,HO22_ExVgGoodHealthStatAdult,HO24_PhysUnhealthyDays,HO25_MentUnhealthyDays,HO33_OverwtAdult,HO47_CVD,HO48_Stroke,HS11_NotAffordDoc,HS19_DentalVisit,HS21_Mammogram,HB06_AnyBreastfeed,HO30_Chlamydia,HO32_HIV,PS03_TobaccoTax,hs23_crcscreen,HO01_AllMort,HO02_CVDMort,HO03_CancerMort,HO04_LowerRespMort,HO05_CerebroMort,HO06_AlzheimersMort,HO07_DiabetesMort,HO08_KidneyMort,HO15_SuicideMort,HO16_HomicideMort,HO17_InfantMort,HO18_LifeExpect,HO20_YLL75,HS02_ACSdischarge,PSE44_violentcrimerate,PS78b_Income_FPL1,PS76a_Education_All,HS07b_PCPratio2000,HS08_MentCarShort,HS25_AcuteReAdm,PSE05b_WalkabilityPop,PSE45_SocialCapital,PSE60_FineParticulateMatter,SEF40a_ConPov20,SEF42a_HighMinority,SEF42b_PoorHighMinority,Ho27_LBW,Ho28a_TeenBirth15to19,SEF07_ECEnoHS,SEF12_ReadProf8,pse06_parks,SEF45_adultjail,PSE35b_ACES2,PSE36_VIOLCRIME,PSE25_SafeSchool,PSE01_NHamenities,HB03_Binge,HO35_OverwtChild,HO39_OralProbs,HO40_adolasthma,HB10_RxAbuse,HB09_IllicitDrug,PSE41_TeenMentor,SEF48_foodinsecure,HO11_MotorVehMort,PS_PolicyRankings
Indiana,IN,6.5,80.2,9.1,0.2,2,1.8,11.5,69.3,49.3,24.6,6.9,12.40029151,1.788348288,26.24284557,50433,33.34536873,21.2,44.94,15,11.43995919,21.16375427,57.15295716,26.79860091,21.14018267,81.53063213,4.130185,4.20681,67.17843266,4.859523655,3.992833899,12.6052441,61.87775518,67.32962673,74.1,437.9,195.7,0.995,64.6,830.1,241.7,182.7,55.5,40.7,30.8,25.9,18.3,14.5,6.2,7.5,77.3,8054.2,56.8,404.7,2598.55755,1761.226141,0.3171076,0.2683262,14.43437,0.027342089,-0.36614683,13.5,0.207803,0.06338606,0.13735609,8.2,26,52,37,26,385,22.95522723,5.895133174,78.05369022,2.292537147,9.558671565,33.93224202,10.81174829,12.32144078,7.8,3.2,94.3,15.2,12.44,30.3030303
Iowa,IA,5.6,87,3.2,0.3,2.1,1.6,6.4,75.6,52.7,27.2,4.5,12.07983641,1.594265761,23.72583876,54570,29.0485334,15.3,44.22,12.3,8.788076613,18.42483586,58.25745782,22.65559956,16.74289571,86.07616843,3.134704,3.266265,68.68296933,3.894807275,3.071047596,7.718094491,71.34892763,72.22785492,82.1,388.9,93.5,1.36,68.2,722.2,213.7,169.5,48,33.5,29.9,22,8.1,13.7,2.4,6.1,79.6,6191.3,48.9,290.6,2802.034841,2311.049578,0.2393286,0.5629488,13.91448,0.060111022,0.96669042,10.9,0.136798,0.00684059,0.0175603,6.8,19,62,36,33,287,20.75400347,5.271785309,79.51259799,2.654910516,9.388466239,29.90897717,8.343016128,10.08010307,4.6,2.1,96.7,10.7,13.54,39.70588235
Kansas,KS,11.3,76.8,5.6,0.7,2.7,2.4,10.5,73.9,52.3,31.6,5.3,12.18551106,2.029559317,25.70981254,53571,29.03253171,17.2,45.55,13.3,9.698391176,19.950257,56.25705097,23.50231381,17.22376508,84.58746917,3.240237,3.24351,66.72357833,3.87157286,2.908537079,11.69941554,66.60752871,70.01909337,77.4,394.8,118.6,1.29,66.4,761.8,220.7,168.2,49.8,38.7,22.4,20,16.7,16.4,4.3,5.9,78.6,6652.4,51.3,380.4,2430.289772,2132.990007,0.2096206,0.3900652,14.31638,0.026547602,-0.05019536,10.9,0.173044,0.04999236,0.12264752,7,25,58,35,39,331,21.02551523,3.639217474,79.97616161,2.596070836,10.86564983,30.87509486,14.11082546,10.68184037,5.6,2.5,95.3,14.5,14.47,41.17647059
Kentucky,KY,3.3,85.4,7.8,0.2,1.3,1.2,9.6,65,49.7,22.7,7.6,12.88847683,1.85698314,26.58459322,44811,34.24827416,25.7,47.41,18.8,13.44268772,26.5248689,53.1483046,29.78748479,24.47088085,77.53308995,5.01031,4.597971,69.07877465,6.751353974,4.460864855,12.14545252,61.82566691,72.86689481,61.3,395.2,179.6,0.6,69.7,917.1,260.5,202.1,64.7,41.8,33.3,26,19.9,16.3,5.6,6.7,75.8,9665.8,76.6,232.3,2099.68025,1903.237445,0.3284626,0.4146393,15.35352,0.046798788,-0.76377395,13.5,0.374987,0.0246266,0.05540364,9.1,32,54,36,29,519,27.10210113,3.320133673,73.60624397,2.104229396,12.01593133,33.54514979,14.6020949,7.451031556,6.6,3.5,96.1,17.3,19.17,29.41176471
Louisiana,LA,4.8,59.3,31.9,0.5,1.7,1.8,14.1,60.7,43.5,23,7.7,13.08272275,2.396907008,28.48287915,45652,43.94535047,27.8,49.03,19.7,12.69784473,23.01169282,49.73247967,29.11981993,22.77381619,78.11497266,4.265474,4.174686,69.23148478,5.83609052,3.966998708,17.57347264,56.6406738,73.16334486,56.9,695.2,504.7,1.08,64.1,886.6,274.6,187.3,44.7,45.1,37.7,25.5,23.6,13.7,12.5,8,75.9,9355.4,65.8,566.1,1273.393808,2036.000218,0.3718041,0.2597941,15.31982,0.074264628,-0.60238357,10.8,0.362078,0.20345625,0.35064887,10.6,34,63,23,27,761,27.29119375,4.664009372,76.87458142,2.083132695,10.4333324,34.03519204,15.60602638,11.02051651,5.6,3.6,96.5,18.3,17.72,38.23529412
Maine,ME,1.5,93.7,1.2,0.6,1.1,1.1,9.5,67.6,50.5,29.3,6,18.07083535,1.450166845,31.33572488,50826,31.99161555,17.9,45.15,13.5,9.858963704,23.95281537,64.83666543,20.60746003,19.76057535,83.63250226,4.374153,4.0634,65.18441662,5.152320143,3.082475517,10.75460272,63.59848047,75.80098496,81.7,298.1,128.5,2,75.9,753.3,196.7,178.8,48.7,33.6,25.2,22,12.6,15.9,1.9,5.8,78.9,6880.1,49.4,123.8,4279.511669,2137.262097,0.0000000,0.2023275,13.79078,0.089762226,0.45251153,10.3,0.158181,0.00045041,0.0016014,7.1,15,55,36,17,137,24.87564642,5.849835529,84.05610233,2.511289503,11.00257738,28.15829644,13.97764571,11.44780379,5.8,2.3,97.5,16.4,12.95,50
Maryland,MD,9.2,52.5,29.2,0.2,6,3.1,8.1,74.1,46.9,38.4,6.7,17.2015787,2.135943553,33.65890667,76067,34.00348227,13.3,45.13,9.9,10.29471996,17.24361989,64.04442367,23.14641076,13.68628614,85.57831777,3.196834,3.375411,64.59161565,3.789872034,2.832360714,10.77810984,68.62345932,76.71455013,79.8,459.3,657.8,2,69.5,708.4,222.3,163.9,31,37.7,15.5,19.2,11.8,9.3,8.3,6.6,79.4,7059.6,46.7,472,7304.670009,2944.712924,0.1054049,0.1254409,,0.0968909,-0.43916572,12.5,0.098077,0.29253333,0.42761552,8.5,17,62,37,64,329,15.34933986,2.158737427,75.15008931,2.920691501,6.258511122,33.59709352,10.25421513,10.39740151,6.4,3.1,94.6,10.1,9.27,61.76470588
Massachusetts,MA,10.9,73.7,6.6,0.1,6.1,5.7,3.2,74.3,46.4,41.2,6.8,17.4125177,1.879839258,35.890107,70954,30.90554781,14.9,48.26,11.4,8.924475119,20.14065126,66.03447972,19.99201962,13.61805295,85.89074977,3.555068,3.885017,60.23635983,4.03051687,2.688750204,8.761047789,73.66685835,80.58626278,81.4,357.3,338.4,3.51,75.3,667.7,179.8,160.3,31.9,28.2,19.4,14.8,14.5,8.6,2.1,3.9,80.7,5594.6,54.3,376.9,7149.257733,2752.057162,0.0000000,0.0543234,15.28909,0.246182902,-0.47970725,10.5,0.162834,0.07826776,0.22020805,7.5,9,68,46,67,125,15.79533873,2.438054562,79.783431,3.030726622,6.226942489,26.64413483,10.75656841,9.012690024,7,3.7,96.5,10.3,6.24,41.17647059
Michigan,MI,4.8,75.7,13.7,0.5,2.8,1.8,8.4,70.4,48,27.4,8.5,15.63185001,1.637889811,29.59762656,50803,34.01877559,22.8,46.48,16.3,10.73214217,22.52445754,60.27223396,23.88329072,20.42855668,81.97270251,4.447337,4.254071,67.49255226,5.149722361,3.514658701,12.77492411,70.08663724,73.98278072,75.3,469.1,174.6,2,69.6,782,254.2,175.1,45.6,37.6,28.6,22.9,14.5,13.2,6.8,6.4,78.1,7431.5,55.4,459,2442.75326,2079.399548,0.2054055,0.1915753,15.38997,0.038606128,-0.24138725,11.5,0.246416,0.11244567,0.26270841,8.5,19,60,32,41,414,22.50963003,4.896160158,76.99469903,2.69060035,7.448649841,31.95995467,11.29032656,9.434209021,6.3,3.5,94.9,14.3,9.6,33.82352941
Minnesota,MN,5.1,81.3,5.6,1,4.5,2.4,6.1,76.6,52.1,34.2,4.8,14.38371946,2.130322998,27.31088226,63217,27.87075861,13.9,44.90,10.8,7.556443795,17.54478684,62.91838354,17.98415714,15.2037811,87.30314435,3.08785,3.115392,64.75018588,3.543668567,2.50325118,9.470869812,73.94145945,75.73979344,89.2,389.3,171.3,3.04,73.3,649.8,164.3,157.5,36.1,33,25.2,18.9,10,12.5,2.3,5.1,81,5126.8,36.6,242.6,6430.648432,2489.783592,0.1264428,0.3692642,14.3121,0.096812327,0.59177973,12,0.124015,0.03130149,0.10989185,6.6,14,58,40,62,192,16.98350864,4.526290405,78.20338457,2.929746864,8.750228904,27.6666758,9.459079628,9.031399123,5.5,3,95.4,9.7,8.38,47.05882353
